datetime,carbonIntensity
2026-04-11T14:00:00.000Z,117.0
2026-04-11T15:00:00.000Z,130.0
2026-04-11T16:00:00.000Z,175.0
2026-04-11T17:00:00.000Z,205.0
2026-04-11T18:00:00.000Z,201.0
2026-04-11T19:00:00.000Z,195.0
2026-04-11T20:00:00.000Z,198.0
2026-04-11T21:00:00.000Z,214.0
2026-04-11T22:00:00.000Z,231.0
2026-04-11T23:00:00.000Z,240.0
2026-04-12T00:00:00.000Z,250.0
2026-04-12T01:00:00.000Z,256.0
2026-04-12T02:00:00.000Z,263.0
2026-04-12T03:00:00.000Z,268.0
2026-04-12T04:00:00.000Z,274.0
2026-04-12T05:00:00.000Z,281.0
2026-04-12T06:00:00.000Z,261.0
2026-04-12T07:00:00.000Z,221.0
2026-04-12T08:00:00.000Z,201.0
2026-04-12T09:00:00.000Z,193.0
2026-04-12T10:00:00.000Z,200.0
2026-04-12T11:00:00.000Z,191.0
2026-04-12T12:00:00.000Z,196.0
2026-04-12T13:00:00.000Z,202.0
