datetime,carbonIntensity
2026-04-08T17:00:00.000Z,130.0
2026-04-08T18:00:00.000Z,142.0
2026-04-08T19:00:00.000Z,131.0
2026-04-08T20:00:00.000Z,144.0
2026-04-08T21:00:00.000Z,149.0
2026-04-08T22:00:00.000Z,159.0
2026-04-08T23:00:00.000Z,154.0
2026-04-09T00:00:00.000Z,157.0
2026-04-09T01:00:00.000Z,157.0
2026-04-09T02:00:00.000Z,144.0
2026-04-09T03:00:00.000Z,137.0
2026-04-09T04:00:00.000Z,123.0
2026-04-09T05:00:00.000Z,109.0
2026-04-09T06:00:00.000Z,137.0
2026-04-09T07:00:00.000Z,106.0
2026-04-09T08:00:00.000Z,79.0
2026-04-09T09:00:00.000Z,69.0
2026-04-09T10:00:00.000Z,66.0
2026-04-09T11:00:00.000Z,65.0
2026-04-09T12:00:00.000Z,65.0
2026-04-09T13:00:00.000Z,64.0
2026-04-09T14:00:00.000Z,78.0
2026-04-09T15:00:00.000Z,82.0
2026-04-09T16:00:00.000Z,89.0
