datetime,carbonIntensity
2026-04-11T14:00:00.000Z,30.0
2026-04-11T15:00:00.000Z,28.0
2026-04-11T16:00:00.000Z,22.0
2026-04-11T17:00:00.000Z,20.0
2026-04-11T18:00:00.000Z,20.0
2026-04-11T19:00:00.000Z,20.0
2026-04-11T20:00:00.000Z,20.0
2026-04-11T21:00:00.000Z,20.0
2026-04-11T22:00:00.000Z,19.0
2026-04-11T23:00:00.000Z,20.0
2026-04-12T00:00:00.000Z,20.0
2026-04-12T01:00:00.000Z,20.0
2026-04-12T02:00:00.000Z,20.0
2026-04-12T03:00:00.000Z,21.0
2026-04-12T04:00:00.000Z,21.0
2026-04-12T05:00:00.000Z,21.0
2026-04-12T06:00:00.000Z,22.0
2026-04-12T07:00:00.000Z,23.0
2026-04-12T08:00:00.000Z,26.0
2026-04-12T09:00:00.000Z,28.0
2026-04-12T10:00:00.000Z,30.0
2026-04-12T11:00:00.000Z,28.0
2026-04-12T12:00:00.000Z,29.0
2026-04-12T13:00:00.000Z,28.0
