datetime,carbonIntensity
2026-04-08T17:00:00.000Z,455.0
2026-04-08T18:00:00.000Z,463.0
2026-04-08T19:00:00.000Z,461.0
2026-04-08T20:00:00.000Z,474.0
2026-04-08T21:00:00.000Z,475.0
2026-04-08T22:00:00.000Z,475.0
2026-04-08T23:00:00.000Z,492.0
2026-04-09T00:00:00.000Z,489.0
2026-04-09T01:00:00.000Z,481.0
2026-04-09T02:00:00.000Z,477.0
2026-04-09T03:00:00.000Z,470.0
2026-04-09T04:00:00.000Z,476.0
2026-04-09T05:00:00.000Z,486.0
2026-04-09T06:00:00.000Z,487.0
2026-04-09T07:00:00.000Z,487.0
2026-04-09T08:00:00.000Z,485.0
2026-04-09T09:00:00.000Z,491.0
2026-04-09T10:00:00.000Z,490.0
2026-04-09T11:00:00.000Z,480.0
2026-04-09T12:00:00.000Z,480.0
2026-04-09T13:00:00.000Z,462.0
2026-04-09T14:00:00.000Z,455.0
2026-04-09T15:00:00.000Z,444.0
2026-04-09T16:00:00.000Z,451.0
